ax,ay,az,gx,gy,gz,label,subject
-0.01160728931427002,-0.002820134162902832,0.006259799003601074,0.06178212929180655,0.2449420829004552,-0.25879576093007733,elbow_flexion,u01
-0.005403697490692139,0.0009776055812835693,-0.0008246898651123048,-0.7309607618375351,0.7660113716673365,-0.49691931400687644,elbow_flexion,u01
0.002375960350036621,-0.0022564828395843506,0.0017778873443603516,-2.557507985650622,0.14642675602528374,-0.6749766894187025,elbow_flexion,u01
-0.0026926398277282715,0.002258121967315674,-0.002944350242614746,-1.6963110977099878,0.36776924134266226,-0.7651637878800202,elbow_flexion,u01
-0.002766013145446777,0.0017892122268676758,-0.004886388778686523,-1.6586890283793825,-0.18109551559179907,-0.9047563126506847,elbow_flexion,u01
-0.001167595386505127,-0.0024698078632354736,0.002552390098571777,-1.352731985169131,-0.0885631609551877,-0.42701374191439756,elbow_flexion,u01
0.02218860387802124,0.01500251889228821,0.008902788162231445,0.7021660716789365,0.4471088254632361,-0.8108027917489281,elbow_flexion,u01
0.001094520092010498,0.009694665670394896,0.006260871887207031,0.2173515871090416,0.3090961554641074,-0.1735245844021705,elbow_flexion,u01
-0.00034242868423461914,0.013884365558624271,0.008435726165771484,-0.0700721379947773,0.11646766535554343,-0.3515615759681922,elbow_flexion,u01
-0.0011238455772399902,0.012961655855178831,0.00031030178070068365,-2.1287787189962137,0.18633919322387804,-0.7942877145009545,elbow_flexion,u01
0.0012882351875305176,0.009623080492019652,-0.0012873411178588867,-1.6253303844730407,-0.5512325513999946,-1.4005269809382355,elbow_flexion,u01
-0.0010071396827697754,0.005960941314697266,0.007120966911315919,-2.1412788189509837,-0.8179896982205151,-1.7498668244354694,elbow_flexion,u01
-0.002795994281768799,0.00019851326942443848,0.005656957626342773,-1.342542196701118,-0.492374783609585,-1.146938705641764,elbow_flexion,u01
-0.007293701171875,0.001982361078262329,0.002022266387939453,0.23508534619575988,0.14788246677256917,-0.3893067487864165,elbow_flexion,u01
0.004555642604827881,0.0017500817775726318,0.0027763843536376953,-1.759070397620356,0.2825718095134504,-0.5173992093463365,elbow_flexion,u01
0.001111745834350586,0.0093461275100708,-0.00047457218170166016,-1.1390998896304108,-0.4799953859040542,-1.1905305737503722,elbow_flexion,u01
-0.008590102195739746,-0.002591162919998169,-0.003248333930969239,-2.409775476214889,0.922943505584842,-0.13957122045014791,elbow_flexion,u01
0.002146899700164795,0.005146622657775879,-0.004035711288452149,-0.38862375654984177,0.2380405235897011,0.49473664168023423,elbow_flexion,u01
-0.00430750846862793,0.00323602557182312,-0.0005488395690917969,-0.14559399321485783,-0.27840539411974263,-0.06310942714661043,elbow_flexion,u01
-0.0030413269996643066,0.009437650442123413,-0.0003483295440673828,-0.36033396678129515,0.028300848805308164,-0.028123570711791956,elbow_flexion,u01
-0.005212664604187012,0.007287681102752685,0.0008527040481567383,-0.5031104536026698,-0.04233208507292421,-0.2646398948995224,elbow_flexion,u01
-0.005412042140960693,0.0029316246509552,-0.0011442899703979492,-0.5588599517121948,0.2551822706940232,-0.24328013245674718,elbow_flexion,u01
0.0013350248336791992,0.00016677379608154297,0.004810929298400879,-0.4856269302355826,-0.026198978150155747,-0.6578308868895606,elbow_flexion,u01
-0.002255856990814209,0.00454789400100708,-0.0022153854370117188,1.0443290939057797,-0.07523003805583439,-0.19087381184274496,elbow_flexion,u01
-0.004662394523620606,-0.0005022287368774414,-0.002110004425048828,-0.15782848952436387,-0.1468944505606577,0.0280186099141559,elbow_flexion,u01
-0.0011503100395202635,-0.0009376406669616699,-0.004062056541442871,-0.8277869642546638,0.016574467877240862,-0.166894618492417,elbow_flexion,u01
-0.000394284725189209,0.0018700659275054925,-0.002963662147521973,-0.01080391852393212,-0.38629114022657657,-0.10112924827466328,elbow_flexion,u01
-0.0033937692642211914,0.001904308795928955,0.0024231672286987305,0.2282982192340299,-0.5200298460329964,-0.012101841229219663,elbow_flexion,u01
-0.0061379075050354,-0.0016387999057769775,-0.0016717910766601562,-0.14120554331227178,-0.20496331816171767,-0.13996031444921384,elbow_flexion,u01
-0.004248380661010742,0.007419764995574951,2.539157867431641e-05,-0.502558115414398,-0.07578393037894673,-0.2789297178602469,elbow_flexion,u01
0.00393754243850708,0.008133172988891602,0.002992749214172364,-0.0852515664144695,-0.5141216256792296,-0.527787873713073,elbow_flexion,u01
0.00039261579513549816,0.006255924701690674,0.002657890319824219,-0.7070411191990331,-0.4671184516061703,-1.121680239204233,elbow_flexion,u01
-0.008546888828277588,-0.0009344518184661863,-0.0014079809188842773,-0.6661842082444861,0.1582416492680835,-0.5214605572207025,elbow_flexion,u01
0.00044840574264526367,-0.006340682506561279,-0.003420352935791016,-4.005997728879451,0.25075566778162034,-0.5772313996713837,elbow_flexion,u01
-0.0002073049545288086,0.007860243320465088,-0.0018500089645385747,1.190145201670795,-0.22575493426355223,0.3731215483310135,elbow_flexion,u01
-0.002720057964324951,0.004530072212219238,-1.1682510375976562e-05,0.6300865517592629,-0.6206905059779998,0.4043893539385385,elbow_flexion,u01
0.004701852798461914,-0.045429110527038574,0.03309905529022217,-3.0769660701448944,0.7513583747418378,-1.5510906037849386,elbow_flexion,u01
